State,Abbreviation,Region,Biomass,Geothermal,Solar,Wind,Hydro,HPS,Coal,Petroleum,Gas,Nuclear,Other,,
Oregon,OR,West,"599,703 ",0 ,0 ,"15,474 ","498,109 ",0 ,"113,824,221 ","1,311,952 ","4,747,936 ","14,937,336 ","14,388 ",,
Pennsylvania,PA,Mid Atlantic,"192,385 ",0 ,0 ,"2,271,590 ","3,762,026 ","(116,831)","34,200,892 ","19,609 ","34,915,888 ",0 ,0 ,,
Rhode Island,RI,New England,"751,004 ",0 ,0 ,"3,372,284 ","32,717,791 ",0 ,"3,196,902 ","5,657 ","15,776,934 ",0 ,"41,248 ",,
South Carolina,SC,Southeast,"2,143,017 ",0 ,0 ,"921,137 ","2,820,836 ","(560,345)","104,927,415 ","930,953 ","29,623,748 ","76,727,686 ","842,542 ",,
South Dakota,SD,Midwest,"152,776 ",0 ,0 ,0 ,"6,135 ",0 ,0 ,"16,262 ","7,553,278 ",0 ,0 ,,
Tennessee,TN,Southeast,"1,733,561 ",0 ,0 ,0 ,"2,102,247 ","(976,443)","35,157,227 ","523,380 ","9,402,119 ","52,149,734 ","105,354 ",,
Texas,TX,Texas,"5,775 ",0 ,0 ,"392,308 ","4,319,205 ",0 ,"3,190,913 ","10,089 ","122,133 ",0 ,"31,318 ",,
Utah,UT,West,"896,431 ",0 ,0 ,"51,747 ","9,482,290 ","(649,832)","41,634,519 ","178,151 ","410,411 ","26,962,001 ",788 ,,
Vermont,VT,New England,"1,382,743 ",0 ,0 ,"19,367,239 ","1,501,345 ",0 ,"139,106,597 ","1,347,315 ","191,652,532 ","41,497,617 ","621,766 ",,
Virginia,VA,Mid Atlantic,"29,266 ","279,121 ",0 ,"64,497 ","696,991 ",0 ,"35,715,484 ","50,180 ","6,424,511 ",0 ,"186,748 ",,
Washington,WA,West,"373,143 ",0 ,0 ,"11,589 ","1,663,593 ",0 ,0 ,"3,577 ","4,431 ","5,360,608 ",0 ,,
West Virginia,WV,Mid Atlantic,"2,465,738 ",0 ,0 ,0 ,"1,414,565 ","(1,215,619)","26,539,392 ","1,110,821 ","12,204,843 ","28,212,252 ","427,691 ",,
Wisconsin,WI,Midwest,"1,437,051 ",0 ,0 ,"3,538,936 ","73,932,815 ","52,383 ","7,477,773 ","47,275 ","11,409,482 ","6,634,014 ","63,675 ",,
Wyoming,WY,West,0 ,0 ,0 ,"742,439 ","1,576,275 ",0 ,"68,135,764 ","170,674 ","149,347 ",0 ,422 ,,
